,Date,Symbol,Time,Open,High,Low,Close,Volume,Datetime
306,12/29/2020,GME,12:30 PM,19.325,19.76,19.19,19.2,878525,12/29/2020:12:30 PM
307,12/29/2020,GME,1:30 PM,19.2,19.5258,19.11,19.43,512397,12/29/2020:1:30 PM
308,12/29/2020,GME,2:30 PM,19.435,20.03,19.3528,19.6543,1087824,12/29/2020:2:30 PM
309,12/29/2020,GME,3:30 PM,19.65,19.83,19.495,19.68,658633,12/29/2020:3:30 PM
310,12/29/2020,GME,4:00 PM,19.685,19.75,19.3,19.37,769482,12/29/2020:4:00 PM
311,12/30/2020,GME,10:30 AM,19.38,20.0,19.38,19.65,1095646,12/30/2020:10:30 AM
312,12/30/2020,GME,11:30 AM,19.64,19.69,19.31,19.41,707906,12/30/2020:11:30 AM
313,12/30/2020,GME,12:30 PM,19.415,19.42,19.1411,19.265,689020,12/30/2020:12:30 PM
314,12/30/2020,GME,1:30 PM,19.265,19.28,19.0,19.133,634852,12/30/2020:1:30 PM
315,12/30/2020,GME,2:30 PM,19.135,19.5,19.1001,19.42,436466,12/30/2020:2:30 PM
316,12/30/2020,GME,3:30 PM,19.4211,19.4378,18.85,19.2511,847171,12/30/2020:3:30 PM
317,12/30/2020,GME,4:00 PM,19.25,19.42,19.18,19.26,680006,12/30/2020:4:00 PM
318,12/31/2020,GME,10:30 AM,19.25,19.63,18.96,19.06,1212657,12/31/2020:10:30 AM
319,12/31/2020,GME,11:30 AM,19.0622,19.29,18.96,19.22,782072,12/31/2020:11:30 AM
320,12/31/2020,GME,12:30 PM,19.2111,19.8,19.21,19.6891,859035,12/31/2020:12:30 PM
321,12/31/2020,GME,1:30 PM,19.6935,19.76,19.36,19.37,418278,12/31/2020:1:30 PM
322,12/31/2020,GME,2:30 PM,19.365,19.58,19.04,19.06,493310,12/31/2020:2:30 PM
323,12/31/2020,GME,3:30 PM,19.07,19.12,18.905,18.96,643283,12/31/2020:3:30 PM
324,12/31/2020,GME,4:00 PM,18.95,18.97,18.8,18.81,735298,12/31/2020:4:00 PM
325,1/4/2021,GME,10:30 AM,19.0,19.1,17.15,17.8999,2827774,1/4/2021:10:30 AM
326,1/4/2021,GME,11:30 AM,17.8747,18.11,17.26,17.52,2209074,1/4/2021:11:30 AM
327,1/4/2021,GME,12:30 PM,17.53,17.82,17.44,17.76,869055,1/4/2021:12:30 PM
328,1/4/2021,GME,1:30 PM,17.75,17.82,17.5081,17.59,458888,1/4/2021:1:30 PM
329,1/4/2021,GME,2:30 PM,17.6,17.64,17.47,17.53,606869,1/4/2021:2:30 PM
330,1/4/2021,GME,3:30 PM,17.53,17.535,17.2607,17.37,738441,1/4/2021:3:30 PM
331,1/4/2021,GME,4:00 PM,17.37,17.55,17.22,17.24,1102576,1/4/2021:4:00 PM
332,1/5/2021,GME,10:30 AM,17.35,18.0765,17.27,17.63,1285590,1/5/2021:10:30 AM
333,1/5/2021,GME,11:30 AM,17.615,17.84,17.45,17.52,521979,1/5/2021:11:30 AM
334,1/5/2021,GME,12:30 PM,17.54,17.7,17.52,17.55,345743,1/5/2021:12:30 PM
335,1/5/2021,GME,1:30 PM,17.55,17.66,17.47,17.57,417739,1/5/2021:1:30 PM
336,1/5/2021,GME,2:30 PM,17.565,17.6175,17.39,17.4978,526038,1/5/2021:2:30 PM
337,1/5/2021,GME,3:30 PM,17.5,17.505,17.23,17.35,521065,1/5/2021:3:30 PM
338,1/5/2021,GME,4:00 PM,17.35,17.54,17.34,17.36,661893,1/5/2021:4:00 PM
339,1/6/2021,GME,10:30 AM,17.34,18.4199,17.33,18.31,1132994,1/6/2021:10:30 AM
340,1/6/2021,GME,11:30 AM,18.32,18.73,18.18,18.44,913382,1/6/2021:11:30 AM
341,1/6/2021,GME,12:30 PM,18.45,18.9182,18.3,18.89,632212,1/6/2021:12:30 PM
342,1/6/2021,GME,1:30 PM,18.8824,18.98,18.68,18.785,460906,1/6/2021:1:30 PM
343,1/6/2021,GME,2:30 PM,18.79,18.98,18.46,18.46,465768,1/6/2021:2:30 PM
344,1/6/2021,GME,3:30 PM,18.4522,18.5965,17.62,18.25,1008961,1/6/2021:3:30 PM
345,1/6/2021,GME,4:00 PM,18.24,18.43,18.09,18.39,549560,1/6/2021:4:00 PM
346,1/7/2021,GME,10:30 AM,18.47,19.45,18.45,19.02,1380783,1/7/2021:10:30 AM
347,1/7/2021,GME,11:30 AM,19.0021,19.23,18.535,18.55,668392,1/7/2021:11:30 AM
348,1/7/2021,GME,12:30 PM,18.56,18.82,18.43,18.75,575966,1/7/2021:12:30 PM
349,1/7/2021,GME,1:30 PM,18.7688,18.804,18.47,18.47,409187,1/7/2021:1:30 PM
350,1/7/2021,GME,2:30 PM,18.4767,18.51,18.33,18.4,443669,1/7/2021:2:30 PM
351,1/7/2021,GME,3:30 PM,18.4,18.42,18.15,18.26,936811,1/7/2021:3:30 PM
352,1/7/2021,GME,4:00 PM,18.25,18.33,18.02,18.12,915470,1/7/2021:4:00 PM
353,1/8/2021,GME,10:30 AM,18.18,18.3,17.08,17.1197,1680299,1/8/2021:10:30 AM
354,1/8/2021,GME,11:30 AM,17.13,17.86,17.12,17.465,941861,1/8/2021:11:30 AM
355,1/8/2021,GME,12:30 PM,17.46,17.9,17.44,17.9,618620,1/8/2021:12:30 PM
356,1/8/2021,GME,1:30 PM,17.88,17.98,17.46,17.67,708182,1/8/2021:1:30 PM
357,1/8/2021,GME,2:30 PM,17.6374,17.927,17.44,17.87,387904,1/8/2021:2:30 PM
358,1/8/2021,GME,3:30 PM,17.88,17.9489,17.7501,17.83,395566,1/8/2021:3:30 PM
359,1/8/2021,GME,4:00 PM,17.84,17.9189,17.56,17.6899,759460,1/8/2021:4:00 PM
360,1/11/2021,GME,10:30 AM,19.41,20.65,19.08,19.2698,5278997,1/11/2021:10:30 AM
361,1/11/2021,GME,11:30 AM,19.25,19.62,19.05,19.27,1470514,1/11/2021:11:30 AM
362,1/11/2021,GME,12:30 PM,19.27,19.58,19.01,19.44,1329216,1/11/2021:12:30 PM
363,1/11/2021,GME,1:30 PM,19.4499,19.87,19.41,19.7488,978217,1/11/2021:1:30 PM
364,1/11/2021,GME,2:30 PM,19.74,20.49,19.74,19.84,1643761,1/11/2021:2:30 PM
365,1/11/2021,GME,3:30 PM,19.85,20.14,19.65,19.68,772202,1/11/2021:3:30 PM
366,1/11/2021,GME,4:00 PM,19.685,19.93,19.67,19.93,740040,1/11/2021:4:00 PM
367,1/12/2021,GME,10:30 AM,19.96,20.4,19.3168,20.01,2187237,1/12/2021:10:30 AM
368,1/12/2021,GME,11:30 AM,20.01,20.25,19.92,20.125,875081,1/12/2021:11:30 AM
369,1/12/2021,GME,12:30 PM,20.125,20.135,19.78,19.99,698473,1/12/2021:12:30 PM
370,1/12/2021,GME,1:30 PM,19.9961,20.16,19.845,19.885,618219,1/12/2021:1:30 PM
371,1/12/2021,GME,2:30 PM,19.895,20.005,19.81,19.84,526825,1/12/2021:2:30 PM
372,1/12/2021,GME,3:30 PM,19.845,19.92,19.71,19.78,458070,1/12/2021:3:30 PM
373,1/12/2021,GME,4:00 PM,19.785,20.04,19.785,19.94,775382,1/12/2021:4:00 PM
374,1/13/2021,GME,10:30 AM,20.42,29.1,20.03,29.0054,18228267,1/13/2021:10:30 AM
375,1/13/2021,GME,11:30 AM,29.01,33.45,26.63,33.07,25355470,1/13/2021:11:30 AM
376,1/13/2021,GME,12:30 PM,33.07,38.65,30.39,31.01,43919590,1/13/2021:12:30 PM
377,1/13/2021,GME,1:30 PM,30.9462,34.93,30.1,31.8872,21139470,1/13/2021:1:30 PM
378,1/13/2021,GME,2:30 PM,31.88,34.38,31.555,32.8399,10491436,1/13/2021:2:30 PM
379,1/13/2021,GME,3:30 PM,32.8,34.15,31.1,31.31,9508760,1/13/2021:3:30 PM
